1,0000635STBLXXXX001,0273361STRFXXXX001,0273792STRFXXXX001,432
2,0000903STBLXXXX001,0389137STRFXXXX001,0389568STRFXXXX001,432
3,0000997STBLXXXX001,0429745STRFXXXX001,0430176STRFXXXX001,432
4,0000293STBLXXXX001,0125617STRFXXXX001,0126048STRFXXXX001,432
5,0000487STBLXXXX001,0209425STRFXXXX001,0209856STRFXXXX001,432
6,0001121STBLXXXX001,0483313STRFXXXX001,0483744STRFXXXX001,432
7,0000426STBLXXXX001,0183073STRFXXXX001,0183504STRFXXXX001,432
8,0000734STBLXXXX001,0316129STRFXXXX001,0316560STRFXXXX001,432
9,0000417STBLXXXX001,0179185STRFXXXX001,0179616STRFXXXX001,432
10,0000377STBLXXXX001,0161905STRFXXXX001,0162336STRFXXXX001,432
11,0000511STBLXXXX001,0219793STRFXXXX001,0220224STRFXXXX001,432
12,0001196STBLXXXX001,0515713STRFXXXX001,0516144STRFXXXX001,432
13,0000773STBLXXXX001,0332977STRFXXXX001,0333408STRFXXXX001,432
14,0000447STBLXXXX001,0192145STRFXXXX001,0192576STRFXXXX001,432
15,0000428STBLXXXX001,0183937STRFXXXX001,0184368STRFXXXX001,432
16,0000627STBLXXXX001,0269905STRFXXXX001,0270336STRFXXXX001,432
17,0000982STBLXXXX001,0423265STRFXXXX001,0423696STRFXXXX001,432
18,0000440STBLXXXX001,0189121STRFXXXX001,0189552STRFXXXX001,432
19,0000282STBLXXXX001,0120865STRFXXXX001,0121296STRFXXXX001,432
20,0001069STBLXXXX001,0460849STRFXXXX001,0461280STRFXXXX001,432
21,0000756STBLXXXX001,0325633STRFXXXX001,0326064STRFXXXX001,432
22,0000288STBLXXXX001,0123457STRFXXXX001,0123888STRFXXXX001,432
23,0000642STBLXXXX001,0276385STRFXXXX001,0276816STRFXXXX001,432
24,0000895STBLXXXX001,0385681STRFXXXX001,0386112STRFXXXX001,432
25,0000788STBLXXXX001,0339457STRFXXXX001,0339888STRFXXXX001,432
26,0000749STBLXXXX001,0322609STRFXXXX001,0323040STRFXXXX001,432
27,0000689STBLXXXX001,0296689STRFXXXX001,0297120STRFXXXX001,432
28,0001187STBLXXXX001,0511825STRFXXXX001,0512256STRFXXXX001,432
29,0000407STBLXXXX001,0174865STRFXXXX001,0175296STRFXXXX001,432
30,0001036STBLXXXX001,0446593STRFXXXX001,0447024STRFXXXX001,432
31,0000553STBLXXXX001,0237937STRFXXXX001,0238368STRFXXXX001,432
32,0000573STBLXXXX001,0246577STRFXXXX001,0247008STRFXXXX001,432
33,0000555STBLXXXX001,0238801STRFXXXX001,0239232STRFXXXX001,432
34,0000322STBLXXXX001,0138145STRFXXXX001,0138576STRFXXXX001,432
35,0000646STBLXXXX001,0278113STRFXXXX001,0278544STRFXXXX001,432
36,0000727STBLXXXX001,0313105STRFXXXX001,0313536STRFXXXX001,432
37,0001132STBLXXXX001,0488065STRFXXXX001,0488496STRFXXXX001,432
38,0000571STBLXXXX001,0245713STRFXXXX001,0246144STRFXXXX001,432
39,0000304STBLXXXX001,0130369STRFXXXX001,0130800STRFXXXX001,432
40,0000303STBLXXXX001,0129937STRFXXXX001,0130368STRFXXXX001,432
41,0000498STBLXXXX001,0214177STRFXXXX001,0214608STRFXXXX001,432
42,0000581STBLXXXX001,0250033STRFXXXX001,0250464STRFXXXX001,432
43,0001195STBLXXXX001,,0515712STRFXXXX001,432
44,0000697STBLXXXX001,0300145STRFXXXX001,0300576STRFXXXX001,432
45,0000612STBLXXXX001,,0263856STRFXXXX001,432
46,0000917STBLXXXX001,0395185STRFXXXX001,0395616STRFXXXX001,432
47,0000492STBLXXXX001,0211585STRFXXXX001,0212016STRFXXXX001,432
48,0001080STBLXXXX001,0465601STRFXXXX001,0466032STRFXXXX001,432
49,0000662STBLXXXX001,0285025STRFXXXX001,0285456STRFXXXX001,432
50,0000807STBLXXXX001,0347665STRFXXXX001,0348096STRFXXXX001,432
51,0000588STBLXXXX001,0253057STRFXXXX001,0253488STRFXXXX001,432
52,0000316STBLXXXX001,0135553STRFXXXX001,0135984STRFXXXX001,432
53,0000532STBLXXXX001,0228865STRFXXXX001,0229296STRFXXXX001,432
54,0001125STBLXXXX001,0485041STRFXXXX001,0485472STRFXXXX001,432
55,0000592STBLXXXX001,0254785STRFXXXX001,0255216STRFXXXX001,432
56,0000890STBLXXXX001,0383521STRFXXXX001,0383952STRFXXXX001,432
57,0000901STBLXXXX001,0388273STRFXXXX001,0388704STRFXXXX001,432
58,0001184STBLXXXX001,0510529STRFXXXX001,0510960STRFXXXX001,432
59,0000311STBLXXXX001,0133393STRFXXXX001,0133824STRFXXXX001,432
60,0000427STBLXXXX001,0183505STRFXXXX001,0183936STRFXXXX001,432
61,0000629STBLXXXX001,0270769STRFXXXX001,0271200STRFXXXX001,432
62,0001146STBLXXXX001,0494113STRFXXXX001,0494544STRFXXXX001,432
63,0001141STBLXXXX001,0491953STRFXXXX001,0492384STRFXXXX001,432
64,0000505STBLXXXX001,0217201STRFXXXX001,0217632STRFXXXX001,432
65,0000786STBLXXXX001,0338593STRFXXXX001,0339024STRFXXXX001,432
66,0001100STBLXXXX001,0474241STRFXXXX001,0474672STRFXXXX001,432
67,0000798STBLXXXX001,0343777STRFXXXX001,0344208STRFXXXX001,432
68,0000852STBLXXXX001,0367105STRFXXXX001,0367536STRFXXXX001,432
69,0000547STBLXXXX001,0235345STRFXXXX001,0235776STRFXXXX001,432
70,0000904STBLXXXX001,0389569STRFXXXX001,0390000STRFXXXX001,432
71,0000825STBLXXXX001,0355441STRFXXXX001,0355872STRFXXXX001,432
72,0000747STBLXXXX001,0321745STRFXXXX001,0322176STRFXXXX001,432
73,0000733STBLXXXX001,0315697STRFXXXX001,0316128STRFXXXX001,432
74,0000830STBLXXXX001,0357601STRFXXXX001,0358032STRFXXXX001,432
75,0000794STBLXXXX001,0342049STRFXXXX001,0342480STRFXXXX001,432
76,0000893STBLXXXX001,0384817STRFXXXX001,0385248STRFXXXX001,432
77,0000874STBLXXXX001,0376609STRFXXXX001,0377040STRFXXXX001,432
78,0000736STBLXXXX001,0316993STRFXXXX001,0317424STRFXXXX001,432
79,0000983STBLXXXX001,0423697STRFXXXX001,0424128STRFXXXX001,432
80,0000705STBLXXXX001,0303601STRFXXXX001,0304032STRFXXXX001,432
81,0000323STBLXXXX001,0138577STRFXXXX001,0139008STRFXXXX001,432
82,0001162STBLXXXX001,0501025STRFXXXX001,0501456STRFXXXX001,432
83,0001008STBLXXXX001,0434497STRFXXXX001,0434928STRFXXXX001,432
84,0000374STBLXXXX001,0160609STRFXXXX001,0161040STRFXXXX001,432
85,0000281STBLXXXX001,0120433STRFXXXX001,0120864STRFXXXX001,432
86,0000670STBLXXXX001,0288481STRFXXXX001,0288912STRFXXXX001,432
87,0000835STBLXXXX001,0359761STRFXXXX001,0360192STRFXXXX001,432
88,0000867STBLXXXX001,0373585STRFXXXX001,0374016STRFXXXX001,432
89,0000954STBLXXXX001,0411169STRFXXXX001,0411600STRFXXXX001,432
90,0001130STBLXXXX001,0487201STRFXXXX001,0487632STRFXXXX001,432
91,0000305STBLXXXX001,0130801STRFXXXX001,0131232STRFXXXX001,432
92,0000381STBLXXXX001,0163633STRFXXXX001,0164064STRFXXXX001,432
93,0000411STBLXXXX001,0176593STRFXXXX001,0177024STRFXXXX001,432
94,0001197STBLXXXX001,0516145STRFXXXX001,0516576STRFXXXX001,432
95,0000714STBLXXXX001,0307489STRFXXXX001,0307920STRFXXXX001,432
